Latitude,Longitude,Population,G25-1,G25-2,G25-3,G25-4,G25-5,G25-6,G25-7,G25-8,G25-9,G25-10,G25-11,G25-12,G25-13,G25-14,G25-15,G25-16,G25-17,G25-18,G25-19,G25-20,G25-21,G25-22,G25-23,G25-24,G25-25
42.4597222,69.6997222,Kazakhstan_Kangju_o1:DA229.SG,0.100164,0.037575,0.029415,0.056848,-0.030467,0.02259,-0.00611,0.007846,-0.02577,-0.030616,-0.011367,-0.003297,0.009068,-0.018029,0.028908,0.024396,-0.00326,-0.003547,-0.005531,0.002876,-0.009982,-0.002597,0.003574,0.010363,-0.001437
52.6925,62.6472222,Kazakhstan_Kipchak2:DA23.SG,0.073985,-0.208184,0.067505,0.015181,-0.056934,-0.015897,0.00799,0.017076,-0.002045,-0.004374,-0.014777,0.001349,0.003122,-0.007844,0.002714,0.002652,0.001695,0.004434,0.005656,0.009755,-0.021462,-0.001484,-0.01023,-0.013014,0.000239
43.2025,76.9816667,Kazakhstan_Karluk_2:DA230.SG,0.064879,-0.136081,0.009805,-0.00646,-0.038776,-0.003068,0.00517,0.006231,-0.020043,-0.010023,-0.017863,-0.001199,-0.003419,-0.005918,0.005429,-0.007558,-0.028424,0.002154,0.000251,0,-0.011729,-0.003339,-0.004067,0.003735,0.005508
52.4908333,76.8394444,Kazakhstan_Andronovo:DA231.SG,0.114961,0.094444,0.062979,0.070737,0.003385,0.028447,0.01081,0.006461,-0.013499,-0.032256,0.009581,0.002548,-0.004311,-0.021332,0.020087,0.005569,-0.00678,0.004307,-0.006913,-0.004127,-0.003868,0.006801,0.000863,0.016749,-0.001317
52.1811111,64.5394444,Kazakhstan_Sarmatian:DA26.SG,0.112685,0.060932,0.039598,0.077843,-0.016003,0.024542,-0.002115,-0.000462,-0.028429,-0.039363,-0.006983,0.001349,0.001635,-0.0278,0.020222,0.024264,0.009127,-0.000253,-0.004148,0.007253,-0.005865,0.00371,-0.001725,0.008435,-0.002754
52.836944,62.893611,Kazakhstan_Nomad_Hun_Sarmatian:DA27.SG,0.040976,-0.368637,0.061471,-0.020995,-0.038161,-0.033188,0.014571,0.022614,0.003681,0.007289,-0.036375,0.002847,0.003122,-0.004679,-0.000271,0.003713,-0.00691,-0.003801,-0.001634,0.004127,-0.015597,0.006306,-0.008381,-0.001325,0.008023
43.0686111,68.2488889,Kazakhstan_GoldenHordeAsian:DA28.SG,0.037562,-0.408243,0.09692,-0.030362,-0.086478,-0.051595,0.019036,0.025384,0.012885,0.022233,-0.026632,0.005395,-0.002973,0.016239,0.005972,-0.004508,0.009909,-0.002534,0.004399,0.024637,-0.023084,-0.018301,-0.026005,-0.000723,-0.004071
43.0686111,68.2488889,Kazakhstan_GoldenHordeEuro:DA29.SG,0.135449,0.123895,0.076178,0.069445,0.044931,0.024263,0.013396,0.014999,-0.004909,-0.035172,-0.008444,-0.011989,0.023934,0.029314,-0.020222,-0.003845,0.00678,-0.002407,0.003394,0.013882,-0.00262,-0.004204,0.008751,-0.007109,0.007424
51.555563,64.705221,Kazakhstan_Sarmatian:DA30.SG,0.100164,0.050776,0.011691,0.049419,-0.028621,0.0251,0.009635,-0.000923,-0.03211,-0.031162,-0.002436,-0.007194,-0.002676,-0.008533,0.024973,-0.001724,-0.025816,-0.00038,-0.001006,-0.003627,-0.003868,-0.003339,0.000863,-0.001446,-0.002874
52.6430556,76.7105556,Kazakhstan_Kimak:DA87.SG,0.073985,-0.138112,0.044877,0.023256,-0.053856,-0.007809,0.006815,-0.001846,-0.022498,-0.017312,-0.00341,-0.003597,-0.007433,-0.000413,0.009636,0.010342,-0.019036,0.004561,-0.000754,-0.017258,-0.019341,-0.005935,-0.005423,-0.008435,-0.000958
43.0686111,68.2488889,Kazakhstan_Turk:DA89.SG,0.081953,-0.072103,0.013199,0.019703,-0.047393,0.006136,0.00611,0.004846,-0.02127,-0.01549,-0.012991,0.001049,-0.000297,-0.014038,0.002986,0.008088,-0.001434,0.004941,0.004274,-0.006753,-0.005989,-0.002473,-0.007272,-0.00494,0.001916
52.1913667,77.026175,Kazakhstan_Nomad_IA:DA92.SG,0.100164,-0.092413,0.046763,0.075582,-0.047393,0.001673,0.00141,-0.001846,-0.012885,-0.034989,0.000325,-0.002248,0.010406,-0.029864,0.015472,0.003713,-0.017602,-0.00266,0.001131,-0.006128,-0.016097,0.002844,0.009367,-0.004579,-0.01425
43.0686111,68.2488889,Kazakhstan_Medieval_Nomad:DA93.SG,0.071709,-0.183811,0.068636,0.031008,-0.056934,-0.010877,0.00094,0.003923,-0.010635,-0.022051,-0.012179,0.001798,-0.000743,-0.016928,0.006922,0.004375,-0.005085,-0.004181,-0.000754,0.003627,-0.023084,0.008656,0.000123,-0.001205,-0.002155
43.0686111,68.2488889,Kazakhstan_Medieval_Nomad:DA94.SG,0.078538,-0.139128,0.053928,0.035853,-0.054164,-0.013387,0.00893,0.016615,-0.008181,-0.008018,-0.010393,-0.014387,0.006838,-0.022983,0.009772,0.007425,0.001043,-0.000633,0.006662,0.004627,-0.018467,0.003215,-0.011092,0.006386,0.001197
52.6164861,76.7502444,Kazakhstan_Nomad_HP:DA95.SG,0.044391,-0.341218,0.082589,-0.017119,-0.07663,-0.034025,0.015511,0.019384,0.003272,0.005285,-0.020623,0.006894,0.005203,-0.004542,-0.002443,0.001193,0.004303,-0.001014,0.008673,0.018509,-0.024831,-0.007543,-0.021199,-0.005904,0.000239
49.134217,75.851817,Kazakhstan_EBA_Yamnaya:Damgaard2018Yamnaya.SG,0.122929,0.082258,0.038466,0.111759,-0.020004,0.049085,-0.00282,-0.009923,-0.053585,-0.071619,-0.00682,0.005095,-0.005203,-0.026561,0.039359,0.018828,0.000261,-0.006081,-0.007793,0.007253,-0.005366,-0.002226,0.011216,0.029161,-0.007305
51.631339,74.66445,Kazakhstan_Central_Steppe_EMBA:EBA1.SG,0.075123,-0.173656,0.086738,0.116281,-0.078168,0.01004,-0.029376,-0.042691,-0.025975,-0.054671,0.015265,-0.008842,0.015163,-0.049957,0.011943,0.010209,-0.008475,-0.00152,0.003645,0.004502,-0.035188,0.007666,0.01405,0.00976,-0.006586
52.629778,76.727647,Kazakhstan_Central_Steppe_EMBA:EBA2.SG,0.081953,-0.156392,0.072407,0.121126,-0.08617,0.021753,-0.036662,-0.039229,-0.017998,-0.059591,0.013803,-0.000899,0.015758,-0.046516,0.019408,-0.001989,-0.025034,0.00038,0.00088,-0.005878,-0.03419,0.007914,0.019473,0.009399,-0.005748
49.52,77.82,Kazakhstan_Tasmola_Saka_IA:ESZ001.AG,0.091058,-0.107646,0.061094,0.053295,-0.035699,0.011156,0.000235,-0.007846,-0.013703,-0.026971,-0.014128,-0.003747,-0.001189,-0.02546,0.011129,0.01074,-0.00352,0.005068,-0.002263,0.005378,-0.015847,0.011747,-0.0053,0.009519,0.003113
49.52,77.82,Kazakhstan_Tasmola_Saka_IA:ESZ002.AG,0.092197,-0.020311,0.028284,0.053618,-0.040931,0.016176,0.006345,-0.001846,-0.017998,-0.028793,-0.00747,-0.002248,0.001933,-0.023121,0.022394,0.015646,-0.01004,0.002154,0.005405,0.002001,-0.013726,0.004946,0.001356,0.006386,-0.004431
49.52,77.82,Kazakhstan_Tasmola_Saka_IA:ESZ003.AG,0.087644,-0.114755,0.059585,0.05491,-0.0397,0.007809,0.000235,-0.006,-0.014726,-0.021868,-0.012179,-0.005545,-0.003717,-0.026424,0.011808,0.0118,0.004694,-0.000127,0.004902,0.006003,-0.014724,0.001607,-0.004067,-0.00253,0.002874
